CAS_Number,logS,ID,CA_Number
,-2.7,O=C(O)CCCCCCCCCCN,2432-99-7
,-2.71,CCCCCCC(OCC)=O,106-30-9
,-2.71,c1cc(OCC)ccc1C(=O)OCCN(CC)CC,94-23-5
,-2.72,Oc1ccc(C(OCCCC)=O)cc1,94-26-8
,-2.73,OC(c1ccccc1I)=O,88-67-5
,-2.73,O=C(N(c1c(C)cccc1CC)C(C)COC)CCl,51218-45-2
,-2.73,CCCCCCl,543-59-9
,-2.74,O=C(N1C)NC(C(C2=CCCCC2)(C)C1=O)=O,56-29-1
,-2.75,CCCCCCCCC(O)=O,112-05-0
,-2.75,O=C(c(nc(Cl)c(Cl)c1N)c1Cl)O,1918-02-1
,-2.76,C(C2)(C=C)C1CC(C(O)c3ccnc4c3cc(OC)cc4)N2CC1,130-95-0
,-2.77,S=C2C1=C(N=CN2)N=CC=N1,65882-61-3
,-2.78,c12c(cccc3)c3ncc1cccc2,229-87-8
,-2.8,Clc(c(C)cc(O)c1)c1C,88-04-0
,-2.8,Cc1c(C)cccc1,95-47-6
,-2.81,O=C(NCc2ccccc2)Cn1c(N(=O)=O)ncc1,22994-85-0
,-2.82,CN2C(ON(C2=O)c1ccc(c(Cl)c1)Cl)=O,20354-26-1
,-2.82,Cc1cc(C)ccc1,108-38-3
,-2.82,OC4C13C(C5N(C(O)C6CC)C(C4C6C5)C3)N(C)c2c1cccc2,4360-12-7
,-2.82,O=S(c1ccc(N)cc1)(c2ccc(N)cc2)=O,80-08-0
,-2.84,CC(Nc1ccc(Cl)cc1)=O,539-03-7
,-2.85,Cc1nc(NS(=O)(c2ccc(cc2)N)=O)ncc1,127-79-7
,-2.86,,738-70-5
,-2.86,,66-02-4
,-2.87,,564-25-0
,-2.87,O=C1C(Cl)=C(N)C=NN1c2ccccc2,1698-60-8
,-2.88,,57-62-5
,-2.89,O=C(N(C)C)Nc1ccc(Cl)cc1,150-68-5
,-2.89,CC(C)CCBr,107-82-4
,-2.91,,127-69-5
,-2.92,Oc1c(cccc2O)c2ccc1,83-56-7
,-2.92,C=CCc1ccc(OC)cc1,140-67-0
,-2.92,NC(c(cccc1)c1C(N)=O)=O,88-96-0
,-2.93,O=C(N(C)C)Nc1cc(OC(NC(C)(C)C)=O)ccc1,4849-32-5
,-2.93,,437-50-3
,-2.96,CCCCI,542-69-8
,-2.96,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(OC)n1,122-11-2
,-2.98,O=C(N(C)C)C(c2ccccc2)c1ccccc1,957-51-7
,-3,O=C(OCC)C=Cc1ccccc1,103-36-6
,-3,O=C(CC)Nc1cc(Cl)c(Cl)cc1,709-98-8
,-3,O=C(N1)NC(C(C2=CCCCCC2)(CC)C1=O)=O,509-86-4
,-3.01,CCCCCCCCCO,143-08-8
,-3.01,O=C(NC1C2C3CCCC3C(C1)C2)N(C)C,28805-78-9
,-3.01,C#CCCCCC,628-71-7
,-3.02,CCCCc1c(O)nc(NCC)nc1C,23947-60-6
,-3.03,CCN(c1ccccc1)CC,91-66-7
,-3.04,O=C([NH]O)C(c1ccc(CC(C)C)cc1)C,53648-05-8
,-3.04,CC(C)Nc1nc(NCC)nc(SC)n1,834-12-8
,-3.05,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NC=N2)=O,58-94-6
,-3.05,O=S(c1ccccc1)(NC(NCCCC)=O)=O,3149-00-6
,-3.05,Clc1c(Cl)cccc1,95-50-1
,-3.07,,485-71-2
,-3.07,BrCCCCC,110-53-2
,-3.08,,480-16-0
,-3.09,OC(C3N4CC(C=C)C(CC4)C3)c1ccnc2c1cccc2,118-10-5
,-3.09,CC1(CCC2C3C)C=CC(C(C)=C1C2OC3=O)=O,481-06-1
,-3.11,CCc1ccc(C)cc1,622-96-8
,-3.11,O=C1CCC2(C)C(CCC3C2C(CC4(C)C3CCC4(O)C(CO)=O)=O)=C1,53-06-5
,-3.12,ClCCCCCC,544-10-5
,-3.12,Oc1cccc3c1C(C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4CC2C3(O)C)=O,60-54-8
,-3.12,CCCCN(CCCC)CCCC,102-82-9
,-3.12,ClC(F)(F)C(F)(F)Cl,76-14-2
,-3.13,O=C(c(cccc1)c1C(OCC=C)=O)OCC=C,131-17-9
,-3.13,CC=Cc1ccc(OC)cc1,104-46-1
,-3.13,Fc1ccc(I)cc1,352-34-1
,-3.14,OC(C2(C(C(O)=C1C(N)=O)N(C)C))(C(O)=C(C3=O)C(C2O)(C(C)(O)c4c3c(O)ccc4))C1=O,79-57-2
,-3.14,BrC(Br)(Br)Br,558-13-4
,-3.14,COc1c(C(C4c(ccc(OC)c5OC)c5C(O4)=O)N(C)CC3)c3cc2c1OCO2,128-62-1
,-3.14,O=C(C(SCCO2)=C2C)Nc1ccccc1,5234-68-4
,-3.15,Clc1nc(NC(C)(C)C#N)nc(NCC)n1,21725-46-2
,-3.15,,102-07-8
,-3.15,O=C(c(cccc2)c2O)Oc1ccccc1,118-55-8
,-3.18,CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC,364-62-5
,-3.18,Sc2nc1ccccc1s2,149-30-4
,-3.18,CCCCC,109-66-0
,-3.2,Cc(c(C)ccc1)c1C,526-73-8
,-3.21,Brc1cc(Cl)ccc1,108-37-2
,-3.21,CCc(cccc1)c1C,611-14-3
,-3.22,,117-34-0
,-3.22,IC=CI,590-27-2
,-3.23,C=CCCCC,592-41-6
,-3.24,Clc(cc(N)cc1)c1Cl,95-76-1
,-3.24,,53780-34-0
,-3.25,CC(Nc(cc1)ccc1I)=O,622-50-4
,-3.26,O=C(N(c1c(CC)cccc1CC)COC)CCl,15972-60-8
,-3.26,O=C(c(cc1)ccc1N)OCCCCC,13110-37-7
,-3.26,COC(c1c(Cl)c(N)cc(Cl)c1)=O,7286-84-2
,-3.27,O=C(OCCNCCCCC)c(cc1)ccc1N,2188-67-2
,-3.27,O=C(c1cc(I)ccc1)O,618-51-9
,-3.27,CC1=CCCCC1,591-49-1
,-3.27,CC(C)c1ccccc1,98-82-8
,-3.28,COc1nnc(NS(=O)(c2ccc(cc2)N)=O)cc1,80-35-3
,-3.28,,63-25-2
,-3.3,CC1CCCC1,96-37-7
,-3.3,Cc1c(C(Nc2ccccc2)=O)cco1,24691-80-3
,-3.31,O=C(c(cc1I)c(c(I)c1)O)O,133-91-5
,-3.31,O=C(c1ccc(Cl)cc1)O,74-11-3
,-3.31,CC(CCCCCCCC)=O,693-54-9
,-3.31,Cc(cc(C)cc1)c1C,95-63-6
,-3.32,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cccc1,57-24-9
,-3.33,Brc1cc(C#N)cc(Br)c1O,1689-84-5
,-3.35,CCOP(OCC)(N2C(c1ccccc1C2=O)=O)=S,5131-24-8
,-3.36,c12c(cccn3)c3ccc1cccc2,85-02-9
,-3.36,S=C(N1)NC(C(C(C)CCC)(CC)C1=O)=O,76-75-5
,-3.37,,81-25-4
,-3.37,CCN(C=C1C(O)=O)c(nc(C)cc2)c2C1=O,389-08-2
,-3.37,C1(CN2CCC1CC2(C(c3ccnc4c3cc(cc4)OC)(O)))C=C,56-54-2
,-3.37,CCCc1ccccc1,103-65-1
,-3.37,,76674-21-0
,-3.39,CCCCCCCC(OC)=O,111-11-5
,-3.39,S=C(SCC(Cl)=C)N(CC)CC,95-06-7
,-3.39,O=C(NS(c1ccc(C)cc1)(=O)=O)NCCCC,64-77-7
,-3.4,,1668-19-5
,-3.4,O=C(O)CCCCCCCCC=C,112-38-9
,-3.4,Cc1cc(C)cc(C)c1,108-67-8
,-3.42,CCOC2Oc1ccc(cc1C2(C)C)OS(C)(=O)=O,26225-79-6
,-3.43,O=C1CCC2(C)C(CCC3C2(F)C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,127-31-1
,-3.43,O=C(Nc1cc(C(F)(F)F)ccc1)N(C)C,2164-17-2
,-3.44,CCCCCCCCCC(O)=O,334-48-5
,-3.46,S=C(N1)NC(C(C(C)CCC)(CC=C)C1=O)=O,77-27-0
,-3.48,,382-45-6
,-3.48,O=C(c1ccccc1)OCCCC,136-60-7
,-3.48,Oc1ccc(c2ccccc2)cc1,92-69-3
,-3.5,Brc(cccc1)c1Br,583-53-9
,-3.51,O=S(Nc1ncccn1)(c2ccc(N)cc2)=O,68-35-9
,-3.51,c1(Nc2ccccc2)ccccc1,122-39-4
,-3.52,C1CCCCCC1,291-64-5
,-3.52,O=C(Nc1cc(Cl)c(Cl)cc1)N(C)OC,330-55-2
,-3.52,Cc1cc(Br)ccc1,591-17-3
,-3.52,Cc(cccc1)c1Cl,95-49-8
,-3.54,O=N(c1c(cccc2)c2ccc1)=O,86-57-7
,-3.55,CC(C)(C)CC,75-83-2
,-3.57,O=C(N(CC)CC)C(Oc1cccc2c1cccc2)C,15299-99-7
,-3.59,O=S(N(C(C)=O)c1c(C)c(C)no1)(c(cc2)ccc2N)=O,80-74-0
,-3.59,O=S2(c1cc(S(N)(=O)=O)c(C(F)(F)F)cc1NC(Cc3ccccc3)N2)=O,73-48-3
,-3.59,Clc1c(Cl)cc(Cl)cc1,120-82-1
,-3.59,O=C(c(cccc2)c2O)Nc1ccccc1,87-17-2
,-3.6,c12ccccc1cccc2,91-20-3
,-3.6,Clc(cccc1)c1C(c(cc(Cl)cc3)c3NC2=O)=NC2O,846-49-1
,-3.61,Oc1c(I)cc(C#N)cc1I,1689-83-4
,-3.61,O=C(C(C)(C)C)C(n2cncn2)Oc1ccc(Cl)cc1,43121-43-3
,-3.63,CCCCCCCCCCO,112-30-1
,-3.63,Brc1ccc(Cl)cc1,106-39-8
,-3.64,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(O)C(CO)=O)=C1,50-02-2
,-3.64,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,474-25-9
,-3.66,CNCCCN1c3c(cccc3)CCc2c1cccc2,50-47-5
,-3.66,C#CCCCCCC,629-05-0
,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,67-72-1
,-3.67,Clc1c(ccc(Cl)c1)OCCCC(O)=O,94-82-6
,-3.68,Cc1cc2c(N=C(C(N3)=O)C(N2CC(O)C(O)C(O)CO)=NC3=O)cc1C,83-88-5
,-3.68,O=S(NC(NN2CCCCCC2)=O)(c1ccc(C)cc1)=O,1156-19-0
,-3.69,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(O)C4(O)C(CO)=O)=C1,124-94-7
,-3.69,CC12C(CCC(C3(CCC4=O))C2CCC34C)=CC(CC1)=O,63-05-8
,-3.7,O=C(c2ccccc2)c1cccc(C(C(O)=O)C)c1,22071-15-4
,-3.7,O=S(Nc1cnccn1)(c(cc2)ccc2N)=O,116-44-9
,-3.71,O=C(CC)N(c2ccccc2)C1(COC)CCN(CCc3cccs3)CC1,56030-54-7
,-3.73,,129-20-4
,-3.74,CC(C)CCC,107-83-5
,-3.75,CCc1ccc(CC)cc1,105-05-5
,-3.75,O=NN(c2ccccc2)c1ccccc1,86-30-6
,-3.77,O=C(OC)C(Cl)Cc1ccc(Cl)cc1,14437-17-3
,-3.77,Cc1cc(cccc2)c2cc1,91-57-6
,-3.78,,17560-51-9
,-3.79,,14293-44-8
,-3.8,O=C2CN=C(c3ccccc3)c1cc(N(=O)=O)ccc1N2C,2011-67-8
,-3.81,CCOc2ccc1nc(S(N)(=O)=O)sc1c2,452-35-7
,-3.81,,50-33-9
,-3.81,BrCCCCCC,111-25-1
,-3.82,,83-49-8
,-3.84,c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC,#3772-43-8
,-3.89,CC(CC)c1ccccc1,135-98-8
,-3.93,Clc1c(cccc2)c2ccc1,90-13-1
,-3.95,CCCCCCOC(c1ccc(N)cc1)=O,13476-55-6
,-3.95,Oc1c(cc(Cl)cc1)Cc(cc(Cl)cc2)c2O,97-23-4
,-3.96,c12cccc(C=C3)c1c3ccc2,208-96-8
,-3.96,CC34CCC2c1c(CCC2C3CCC4=O)cc(O)cc1,53-16-7
,-3.97,Cc1c(ccc3c2nccc3C)c2ncc1,3248-05-3
,-3.98,OC4CCN(CC4)CCCN2c1ccccc1Sc3c2cc(C#N)cc3,2622-26-6
,-3.99,,15687-27-1
,-4,,886-50-0
,-4,CC1=CCC(C(C)=C)CC1,5989-27-5
,-4.02,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,2539-17-5
,-4.04,O=C1C(Cl)=C(NC)C=NN1c2cc(C(F)(F)F)ccc2,27314-13-2
,-4.06,CCNc1nc(N(CC)CC)nc(Cl)n1,1912-26-1
,-4.08,O=C(SCC(Cl)=CCl)N(C(C)C)C(C)C,2303-16-4
,-4.08,Clc1cc(C(c4ccccc4Cl)=NCc3nnc(C)n23)c2cc1,28911-01-5
,-4.1,CCCCCCCCCC(OCC)=O,110-38-3
,-4.1,C34C2CC(C)C1=CC(C=CC1(C)C2(F)C(O)CC3(C)C(C(C)=O)(O)CC4)=O,426-13-1
,-4.11,,1982-49-6
,-4.11,O=C(C(C1=O)C(c2ccccc12)=O)C(C)(C)C,83-26-1
,-4.12,CC(C)Cc1ccccc1,538-93-2
,-4.12,CC(C3=CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1,53-43-0
,-4.14,Cc1c(cccc2)c2c(C)cc1,571-58-4
,-4.14,Clc2cc1ccccc1cc2,91-58-7
,-4.15,CC(C)(c1ccccc1)CC,2049-95-8
,-4.15,OCCN(CC4)CCN4CCCN1c3c(ccc(C(F)(F)F)c3)Sc2c1cccc2,69-23-8
,-4.16,,14214-32-5
,-4.16,COc1ccc2c(ccc(C(C)C(O)=O)c2)c1,22204-53-1
,-4.16,CCCCc1c(OS(=O)(N(C)C)=O)nc(NCC)nc1C,41483-43-6
,-4.16,Clc4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(CCO)CC2,58-39-9
,-4.16,CC(C3CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1,481-29-8
,-4.17,CCc1c(cccc2)c2ccc1,1127-76-0
,-4.17,c1(Cc2ccccc2)ccccc1,101-81-5
,-4.18,OC1(C(OC)=O)c3c(ccc(Cl)c3)c2c1cccc2,2536-31-4
,-4.19,,50-49-7
,-4.19,O=C(CCl)N(c(c(CC)ccc1)c1CC)COCCCC,23184-66-9
,-4.19,ClC(Cl)(Cl)C(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)NC=O,26644-46-2
,-4.2,CC(OP(OC(C)C)(SCCNS(=O)(c1ccccc1)=O)=S)C,741-58-2
,-4.21,O=S(NC(NC2CCCCC2)=O)(c(cc1)ccc1C)=O,664-95-9
,-4.21,,15310-01-7
,-4.22,CC(CN(C)C)CN1c(cc3OC)c(cc3)Sc2c1cccc2,60-99-1
,-4.22,Nc1c(cc2ccccc2n3)c3ccc1,578-06-3
,-4.23,S=P(OCC)(OCC)SCCSCC,298-04-4
,-4.24,O=C(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)NC,2655-19-8
,-4.24,N#Cc(c(Cl)ccc1)c1Cl,1194-65-6
,-4.24,C#CCCCCCCC,3452-09-3
,-4.25,CCC1CCCCC1,1678-91-7
,-4.26,CC(C)CC(C)C,108-08-7
,-4.27,CC1C(C)CCCC1,2207-01-4
,-4.29,Cc1c(cccc2)c2cc(C)c1,575-41-7
,-4.3,CC(OCC(C4(O)CCC3C2CCC1=CC(CCC1(C)C2C(O)CC34C)=O)=O)=O,50-03-3
,-4.31,O=C2Oc1c(C=C2)ccc(OC)c1CC=C(C)C,484-12-8
,-4.31,O=C(O)CCCCCCCCCCCCCC,1002-84-2
,-4.31,c1(c2ccccc2)ccccc1,92-52-4
,-4.33,CC(CCCC1)C1C,6876-23-9
,-4.35,Brc2cccc1ccccc12,90-11-9
,-4.35,,547-75-1
,-4.35,Oc1ccc(C(CC)=C(CC)c2ccc(O)cc2)cc1,56-53-1
,-4.36,O=C(O)c2c(cccc2)Nc1cc(C(F)(F)F)ccc1,530-78-9
,-4.37,O=C1C=CC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(COC(C)=O)=O)=C1,52-21-1
,-4.37,,101-27-9
,-4.4,OC1CCC2(C)C(CCC3C2CCC4(C)C3CCC4=O)C1,53-41-8
,-4.4,Brc1cc(cccc2)c2cc1,580-13-2
,-4.4,Clc4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(C)CC2,58-38-8
,-4.4,O=C(OCCCC)c1ccccc1C(OCCCC)=O,84-74-2
,-4.43,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4C(C)=O)=C1,57-83-0
,-4.43,CC(C)Nc1nc(NC(C)C)nc(Cl)n1,139-40-2
,-4.44,O=C1C(c3cc(C(F)(F)F)ccc3)=CN(C)C=C1c2ccccc2,59756-60-4
,-4.44,CCCCCCC=C,111-66-0
,-4.45,c1(N=Nc2ccccc2)ccccc1,103-33-3
,-4.46,,853-23-6
,-4.46,,3380-34-5
,-4.47,CC1CCC(C)CC1,589-90-2
,-4.49,Fc(cc(C(C(O)=O)C)cc2)c2c1ccccc1,5104-49-4
,-4.5,Brc(cc(Br)cc1)c1Br,615-54-3
,-4.51,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,319-86-8
,-4.53,CCCCCCC,142-82-5
,-4.54,Clc(cccc2)c2c1ccccc1,2051-60-7
,-4.55,CCNc1nc(NCC)nc(Cl)n1,122-34-9
,-4.57,Clc(c(Cl)ccc1Cl)c1Cl,634-66-2
,-4.57,O=C1CCC2C(CCC3C2CCC4(C)C3CCC4(C#C)O)=C1,68-22-4
,-4.6,CCCCCCCOC(c1ccc(N)cc1)=O,14309-40-1
,-4.6,S=C=Nc1cccc2c1cccc2,551-06-4
,-4.6,c13c(cccc3)oc2c1cccc2,132-64-9
,-4.61,Clc1c(OC)cc(OC)c2c1OC(C(OC)=CC3=O)(C(C)C3)C2=O,126-07-8
,-4.62,Clc(cc3)ccc3C(n2c(C)c(CC(O)=O)c1cc(OC)ccc12)=O,53-86-1
,-4.62,CCCCCCCCCCCC(O)=O,143-07-7
,-4.63,CCCCCCCCCC(OC)=O,110-42-9
,-4.63,Clc(c(Cl)cc(Cl)c1)c1Cl,634-90-2
,-4.63,c12cccc(CC3)c1c3ccc2,83-32-9
,-4.64,CCCCCc1ccccc1,538-68-1
,-4.66,O=C(c(cccc1)c1C(OCC(C)C)=O)OCC(C)C,84-69-5
,-4.67,CCCCCCCCCCCCO,112-53-8
,-4.69,CCCCCCCCCCCC(OC)=O,111-82-0
,-4.7,CC(OCCN4CCN(CC4)CCCN2c1c(Sc3ccc(cc23)Cl)cccc1)=O,84-06-0
,-4.7,,50-65-7
,-4.71,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(O)C(C)=O)=C1,68-96-2
,-4.71,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(OC(CCCC)=O)C(CO)=O)=C1,2152-44-5
,-4.74,CCCC1CCCC1,2040-96-2
,-4.74,,60-89-9
,-4.74,Cc1c(cccc2C)c2ccc1,571-61-9
,-4.77,O=C(Nc1cc(Cl)c(Cl)cc1)N(C)CCCC,555-37-3
,-4.81,CCCCCCCI,4282-40-0
,-4.85,,28299-41-4
,-4.86,S=C(SSC(N(CC)CC)=S)N(CC)CC,97-77-8
,-4.88,Clc1cccc(c2ccccc2)c1,2051-61-8
,-4.9,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(OC(C)=O)C(CO)=O)=C1,1177-87-3
,-4.91,c1(cccc3)c3Cc2c1cccc2,86-73-7
,-4.92,Clc1cc(c2cc(Cl)c(N)cc2)ccc1N,91-94-1
,-4.92,Cc1ccc(c2c1cccc2C)C,2131-41-1
,-4.93,CC(OC(C(c1ccc(Br)cc1)(c2ccc(Br)cc2)O)=O)C,18181-80-1
,-4.95,CC=C(c1ccc(O)cc1)C(c2ccc(O)cc2)=CC,84-17-3
,-4.95,CC1(CC2)C(OC(C)=O)(C(C)=O)CCC1C(C=C3Cl)C2C(C=C4)(C)C3=CC4=O,13698-49-2
,-4.97,c1(cccc3)c3[nH]c2c1cccc2,86-74-8
,-4.98,Clc1cc(Cl)c(Cl)c2nsnc12,1982-55-4
,-5.01,CN(C)CCCN1c(cc(Cl)cc3)c3Sc2c1cccc2,50-53-3
,-5.03,O=C(C(NC(C(Cl)Cl)=O)=C2Cl)c(cccc1)c1C2=O,27541-88-4
,-5.04,Brc1c(Br)cccc1Br,608-21-9
,-5.05,C=CCCCCCCC,124-11-8
,-5.06,CCCCCCCCBr,111-83-1
,-5.06,OC(CCC(c1ccc(c2ccccc2)cc1)=O)=O,36330-85-5
,-5.09,COc1ccc(cc1C(NCCc2ccc(S(=O)(NC(NC3CCCCC3)=O)=O)cc2)=O)Cl,10238-21-8
,-5.14,O=P(SCCCC)(SCCCC)SCCCC,78-48-8
,-5.15,,475-31-0
,-5.17,Nc3cc2cc1ccccc1cc2cc3,613-13-8
,-5.18,ClC1(C(Cl)=C(Cl)C(Cl)=C1Cl)Cl,77-47-4
,-5.19,O=C(OC(C)C)C=C(C)C=CCC(C)CCCC(OC)(C)C,40596-69-8
,-5.19,O=C(c2c1cccc2)c(cccc3)c3C1=O,84-65-1
,-5.21,Clc(cccc2Cl)c2c1ccccc1,33146-45-1
,-5.22,,6893-02-3
,-5.22,Cc1c(Cc3ccccc23)c2ccc1,1730-37-6
,-5.24,CCCCCCCC,111-65-9
,-5.25,Clc(cc(Cl)cc2)c2c1ccccc1,33284-50-3
,-5.27,CC(C3(CCC4C2C=C(C1=CC(CCC1(C2CCC34C)C)=O)C)C)=O,977-79-7
,-5.27,Clc(cccc2)c2c1ccccc1Cl,13029-08-8
,-5.28,Oc1cc(CC=C3C2CCC4(C)C3CCC4=O)c2cc1,474-86-2
,-5.28,,34883-43-7
,-5.3,CN(CCCN2c1ccccc1Sc3c2cc(C(F)(F)F)cc3)C,146-54-3
,-5.31,c1(cccc3)c3Oc(cccc2)c2O1,262-12-4
,-5.33,O=C(O)CCCCCCCCCCCCC,544-63-8
,-5.35,CC(OC(C12C)(CCC1C(C=C(C)C3=CC4=O)C(C3(CC4)C)CC2)C(C)=O)=O,595-33-5
,-5.37,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4OC(CC)=O)=C1,57-85-2
,-5.4,O=C(c(cc1)ccc1N)OCCCCCCCC,14309-41-2
,-5.4,c1(c2nc(cccc4)c4cc2)nc(cccc3)c3cc1,119-91-5
,-5.4,,2939-80-2
,-5.41,,2363-58-8
,-5.43,Clc1c2c(nccn2)c(Cl)c(Cl)c1Cl,3495-42-9
,-5.46,Clc1c(Oc2ccc(N(=O)=O)cc2)ccc(Cl)c1,1836-75-5
,-5.47,Nc1c(C(F)(F)F)cc(N(=O)=O)c(N(CC)CC)c1N(=O)=O,29091-05-2
,-5.47,CN(C=Nc(ccc(C)c2)c2C)C=Nc(ccc(C)c1)c1C,33089-61-1
,-5.51,,508-96-3
,-5.53,FC(F)(F)c1cc(N(=O)=O)c(N(CC)CCCC)c(N(=O)=O)c1,1861-40-1
,-5.54,S=P(OCC)(OCC)SCSP(OCC)(OCC)=S,563-12-2
,-5.54,,20168-99-4
,-5.64,O=C(OCc2ccccc2)c1ccccc1C(OCCCC)=O,85-68-7
,-5.64,ClC13C(Cl)=C(Cl)C(C3(Cl)Cl)(Cl)C2C1C=CC2,3734-48-3
,-5.65,Clc(c(Cl)cc(Cl)c1Cl)c1Cl,608-93-5
,-5.66,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(C#C)O)=C1,434-03-7
,-5.68,CCCCCCCCCCCCCCCCCC(O)=O,57-11-4
,-5.69,CC(Oc1cc(N2N=C(C(C)(C)C)OC2=O)c(cc1Cl)Cl)C,19666-30-9
,-6.7,CC12C(CC3)C(CCC1CCCC2)C(CC4)C3(C)C4=O,36378-49-1
,-5.72,S=P(OC)(OC)Oc(cc(Cl)c(Cl)c1)c1Cl,299-84-3
,-5.82,O=N(c(c(Cl)c(Cl)c(Cl)c1Cl)c1Cl)=O,82-68-8
,-6,c24c(cccc4)c1cccc3c1c2ccc3,206-44-0
,-6.01,Clc1cc(c2cc(Cl)ccc2Cl)ccc1,38444-81-4
,-6.02,O=C(NC(Nc2ccc(Cl)cc2)=O)c1c(F)cccc1F,35367-38-5
,-6.05,CCCCCCCCCCCCCCO,112-72-1
,-6.14,Clc1cc(Cl)c(c2ccccc2)c(Cl)c1,35693-92-6
,-6.19,c1(ccc3ccc4)cccc2ccc4c3c12,129-00-0
,-6.2,Nc(c4c3cccc4)cc1c3ccc2c1cccc2,2642-98-0
,-6.25,Clc(ccc(Cl)c2)c2c1ccc(Cl)cc1,16606-02-3
,-6.26,Clc1ccc(c2cccc(Cl)c2Cl)cc1,38444-85-8
,-6.27,Clc(cc(Cl)c(Cl)c2)c2c1ccccc1,15862-07-4
,-6.29,ClC12C3C(C4C(O5)C5C3C4)C(C2(Cl)Cl)(Cl)C(Cl)=C1Cl,60-57-1
,-6.29,Clc(cccc2)c2c1ccc(Cl)c(Cl)c1,38444-86-9
,-6.34,S=P(OCC)(OCC)SC(CCl)N1C(c(cccc2)c2C1=O)=O,10311-84-9
,-6.35,c12ccccc1cc3c(cccc3)c2,120-12-7
,-6.36,ClC(Cl)=C(c1ccc(Cl)cc1)c(cccc2)c2Cl,3424-82-6
,-6.39,Clc1cc(c2ccccc2)ccc1Cl,2974-92-7
,-6.47,Clc1ccc(Cl)c(c2cccc(Cl)c2Cl)c1,41464-39-5
,-6.51,,53-19-0
,-6.56,Clc1ccc(c2ccc(Cl)cc2)cc1,2050-68-2
,-6.57,Clc1ccc(Cl)cc1c2c(Cl)cc(Cl)cc2,41464-40-8
,-6.57,Cc(c2c1cccc2)c(cccc3)c3c1C,781-43-1
,-6.62,S=P(OC)(OC)Oc1c(Cl)cc(I)c(Cl)c1,18181-70-9
,-6.68,,238-84-6
,-6.74,c1(cccc3)c3c(cccc4)c4c2c1cccc2,217-59-4
,-6.8,Clc(cc2)c(cc2Cl)c1c(Cl)cccc1Cl,41464-41-9
,-6.89,CCc3cc2cc1ccccc1cc2cc3,52251-71-5
,-6.9,ClC(Cl)=C(c2ccc(Cl)cc2)c1ccc(Cl)cc1,72-55-9
,-6.96,Cc1cc(cc(cccc3)c3c2)c2cc1,613-12-7
,-7.02,Cc1c(c(cccc4)c4cc3)c3c(C)c2c1cccc2,57-97-6
,-7.11,c1(c2ccc(c3ccccc3)cc2)ccccc1,92-94-4
,-7.2,ClC(Cl)C(c2ccc(Cl)cc2)c1ccc(Cl)cc1,72-54-8
,-7.21,,55312-69-1
,-7.25,Clc(ccc(Cl)c2)c2c1ccc(Cl)c(Cl)c1,32598-11-1
,-7.28,Clc1c(Cl)cccc1c2c(Cl)c(Cl)ccc2,38444-93-8
,-7.32,,512-04-9
,-7.32,Clc2c(c(Cl)cc(Cl)c2)c1c(Cl)cccc1Cl,56558-16-8
,-7.39,Clc(cc(Cl)c(Cl)c2)c2c1ccc(Cl)c(Cl)c1,31508-00-6
,-7.39,Clc(cccc2Cl)c2c1c(Cl)cccc1Cl,15968-05-5
,-7.42,c2(cc4)c([nH]c3c(cccc5)c5ccc23)c1c4cccc1,239-64-5
,-7.42,Clc1c(c2cc(Cl)ccc2Cl)c(Cl)c(Cl)cc1Cl,52663-63-5
,-7.43,,55215-17-3
,-7.66,,74472-42-7
,-7.68,Clc1ccc(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,52712-04-6
