id,smiles,compound_class,compound_subclass,name,molecular_weight,formula,cas_number,created_at,updated_at
111,[H][C@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(OC3=C(C(=O)CCC4=CC=C(O)C=C4)C(O)=CC(O)=C3)O[C@]([H])(CO)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Dihydrochalcones,Phloretin 2'-O-xylosyl-glucoside,568.524,C26H32O14,"",2004-06-17 00:00:00 UTC,2015-05-10 23:28:40 UTC
112,[H][C@@]1(O)CO[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC(O)=CC(O)=C3C(=O)CCC3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Dihydrochalcones,3-Hydroxyphloretin 2'-O-xylosyl-glucoside,584.523,C26H32O15,"",2004-08-24 09:52:06 UTC,2015-05-10 23:28:40 UTC
113,[H][C@]1(CO)O[C@@]([H])(OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Dihydrochalcones,3-Hydroxyphloretin 2'-O-glucoside,452.409,C21H24O11,"",2004-08-24 09:52:06 UTC,2015-05-10 23:28:40 UTC
116,C[C@@H]1O[C@@H](O[C@@H]2[C@H](OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Dihydroflavonols,Dihydroquercetin 3-O-rhamnoside,450.393,C21H22O11,29838-67-3,2005-09-05 11:11:25 UTC,2015-05-10 23:28:40 UTC
117,OC1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C=C1,Flavonoids,Dihydroflavonols,Dihydroquercetin,304.252,C15H12O7,480-18-2,2002-09-04 16:07:19 UTC,2015-05-10 23:28:40 UTC
119,CC1OC(OC2C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Dihydroflavonols,Dihydromyricetin 3-O-rhamnoside,466.392,C21H22O12,"",2005-09-08 16:17:26 UTC,2015-05-10 23:28:40 UTC
124,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,(+)-Catechin,290.268,C15H14O6,154-23-4,2002-08-20 16:23:07 UTC,2015-05-10 23:28:40 UTC
125,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,(-)-Epicatechin,290.268,C15H14O6,490-46-0,2002-08-20 16:48:58 UTC,2015-05-10 23:28:40 UTC
126,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C(O)=C1,Flavonoids,Flavanols,(+)-Gallocatechin,306.267,C15H14O7,1617-55-6,2002-09-02 09:07:12 UTC,2015-05-10 23:28:40 UTC
127,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C(O)=C1,Flavonoids,Flavanols,(-)-Epigallocatechin,306.267,C15H14O7,970-74-1,2002-08-30 13:52:22 UTC,2015-05-10 23:28:40 UTC
128,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC=C(O)C(O)=C1,Flavonoids,Flavanols,(-)-Epicatechin 3-O-gallate,442.372,C22H18O10,1257-08-5,2002-08-30 13:53:31 UTC,2016-06-02 09:50:11 UTC
129,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,Flavonoids,Flavanols,(-)-Epigallocatechin 3-O-gallate,458.372,C22H18O11,989-51-5,2002-09-03 15:08:22 UTC,2015-05-10 23:28:40 UTC
133,[H][C@@]1(OC2=CC(O)=CC(O)=C2C[C@H]1O)C1=CC(O)=C(O)C2=C(O)C(=O)C=C(C=C12)[C@H]1OC2=CC(O)=CC(O)=C2C[C@H]1O,Flavonoids,Flavanols,Theaflavin,564.494,C29H24O12,4670-05-7,2003-04-01 10:17:20 UTC,2015-05-10 23:28:41 UTC
134,[H][C@@]1(OC2=CC(O)=CC(O)=C2C[C@H]1OC(=O)C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C2=C(O)C(=O)C=C(C=C12)[C@H]1OC2=CC(O)=CC(O)=C2C[C@H]1O,Flavonoids,Flavanols,Theaflavin 3-O-gallate,716.598,C36H28O16,31629-79-5,2003-04-01 10:19:49 UTC,2015-05-10 23:28:41 UTC
135,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC2=C(C(O)=C(O)C=C2[C@H]2OC3=C(C[C@H]2OC(=O)C2=CC(O)=C(O)C(O)=C2)C(O)=CC(O)=C3)C(=O)C(O)=C1,Flavonoids,Flavanols,Theaflavin 3'-O-gallate,716.598,C36H28O16,"",2003-04-01 10:21:41 UTC,2015-05-10 23:28:41 UTC
136,[H][C@@]1(OC2=CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)=CC(O)=C2C[C@H]1O)C1=CC(O)=C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C2=C(O)C(=O)C=C(C=C12)C1OC2=CC(O)=CC(O)=C2C[C@H]1O,Flavonoids,Flavanols,"Theaflavin 3,3'-O-digallate",868.702,C43H32O20,33377-72-9,2003-04-01 10:22:54 UTC,2015-05-10 23:28:41 UTC
137,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,Flavonoids,Flavanols,(+)-Gallocatechin 3-O-gallate,458.372,C22H18O11,4233-96-9,2003-04-11 14:17:59 UTC,2015-05-10 23:28:41 UTC
139,OC1=CC2=C(CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(O2)C2=CC(O)=C(O)C=C2)C(O)=C1,Flavonoids,Flavanols,(+)-Catechin 3-O-gallate,442.372,C22H18O10,"",2004-06-22 00:00:00 UTC,2015-05-10 23:28:41 UTC
150,[H][C@]1(O)CC2=C(O)C=C(O)C(=C2O[C@]1([H])C1=CC=C(O)C(O)=C1)[C@@]1([H])C2=C(O)C=C(O)C=C2O[C@]([H])(C2=CC=C(O)C(O)=C2)[C@]1([H])O,Flavonoids,Flavanols,Procyanidin dimer B1,578.52,C30H26O12,20315-25-7,2002-08-29 13:57:03 UTC,2015-05-10 23:28:41 UTC
151,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,Procyanidin dimer B2,578.52,C30H26O12,29106-49-8,2002-08-21 14:48:07 UTC,2015-05-10 23:28:41 UTC
152,[H][C@@]1([C@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@@H](O)C2)C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,Procyanidin dimer B3,578.52,C30H26O12,"",2002-08-20 15:58:13 UTC,2015-05-10 23:28:41 UTC
153,[H][C@@]1([C@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,Procyanidin dimer B4,578.52,C30H26O12,"",2004-09-10 00:00:00 UTC,2015-05-10 23:28:41 UTC
154,[H][C@]1([C@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C2=C(O[C@@H]([C@H](O)C2)C2=CC(O)=C(O)C=C2)C=C1O,Flavonoids,Flavanols,Procyanidin dimer B5,578.52,C30H26O12,"",2002-08-29 13:55:55 UTC,2015-05-10 23:28:41 UTC
155,[H][C@@]1([C@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C2=C(O[C@@H]([C@H](O)C2)C2=CC(O)=C(O)C=C2)C=C1O,Flavonoids,Flavanols,Procyanidin dimer B7,578.52,C30H26O12,"",2004-09-10 00:00:00 UTC,2015-05-10 23:28:42 UTC
156,OC1CC2=C(O)C=C(O)C(C3C(O)C(OC4=CC(O)=CC(O)=C34)C3=CC(O)=C(O)C(O)=C3)=C2OC1C1=CC(O)=C(O)C(O)=C1,Flavonoids,Flavanols,Prodelphinidin dimer B3,610.519,C30H26O14,"",2004-09-10 00:00:00 UTC,2015-05-10 23:28:42 UTC
157,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C2O[C@@H]([C@H](O)[C@@]([H])(C3=C(O)C=C(O)C4=C3O[C@@H]([C@H](O)C4)C3=CC(O)=C(O)C=C3)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,Procyanidin trimer C1,866.772,C45H38O18,"",2002-08-29 13:57:43 UTC,2015-05-10 23:28:42 UTC
161,[H][C@]1(O)CC2=C(O[C@]1([H])C1=CC=C(O)C(O)=C1)C(C1C3=C(O[C@]([H])(C4=CC=C(O)C(O)=C4)[C@]1([H])O)C(C1C4=C(O[C@]([H])(C5=CC=C(O)C(O)=C5)[C@]1([H])O)C=C(O)C=C4O)=C(O)C=C3O)=C(O)C=C2O,Flavonoids,Flavanols,Procyanidin trimer EEC,866.772,C45H38O18,"",2004-09-10 00:00:00 UTC,2015-05-10 23:28:42 UTC
168,OC1CC2=C(O)C=C(O)C(C3C(O)C(OC4=C(C5C(O)C(OC6=CC(O)=CC(O)=C56)C5=CC(O)=C(O)C=C5)C(O)=CC(O)=C34)C3=CC(O)=C(O)C=C3)=C2OC1C1=CC(O)=C(O)C=C1,Flavonoids,Flavanols,Procyanidin trimer T2,866.772,C45H38O18,"",2005-09-13 11:42:52 UTC,2015-05-10 23:28:42 UTC
169,[H][C@]1(O)CC2=C(O[C@]1([H])C1=CC=C(O)C(O)=C1)C(=C(O)C=C2O)[C@]1([H])C2=C(O[C@]([H])(C3=CC=C(O)C(O)=C3)[C@@]1([H])O)C(=C(O)C=C2O)[C@]1([H])C2=C(O[C@]([H])(C3=CC=C(O)C(O)=C3)[C@@]1([H])O)C=C(O)C=C2O,Flavonoids,Flavanols,Procyanidin trimer C2,866.772,C45H38O18,"",2005-09-13 15:03:21 UTC,2015-05-10 23:28:42 UTC
195,[H][C@]1(CO)O[C@]([H])(O[C@]2([H])[C@]3([H])C4=C(O[C@]2(OC2=C3C3=C(CC[C@]([H])(O3)C3=CC(O)=C(O)C=C3)C=C2)C2=CC(O)=C(O)C=C2)C=C(O)C=C4O)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Flavanols,(-)-Epicatechin-(2a-7)(4a-8)-epicatechin 3-O-galactoside,706.646,C36H34O15,"",2008-07-30 00:00:00 UTC,2015-05-10 23:28:43 UTC
196,O[C@@H]1CC2=C(O)C=C(O)C([C@@H]3[C@@H](O)[C@H](OC4=C([C@@H]5[C@@H](O)[C@H](OC6=C([C@@H]7[C@@H](O)[C@H](OC8=CC(O)=CC(O)=C78)C7=CC=C(O)C(O)=C7)C(O)=CC(O)=C56)C5=CC=C(O)C(O)=C5)C(O)=CC(O)=C34)C3=CC=C(O)C(O)=C3)=C2O[C@@H]1C1=CC=C(O)C(O)=C1,Flavonoids,Flavanols,Cinnamtannin A2,1155.02,C60H50O24,"",2008-07-31 00:00:00 UTC,2015-05-10 23:28:43 UTC
199,OCC1OC(OC2CC3=C(OC2C2=CC(O)=C(O)C=C2)C=C(O)C=C3O)C(O)C(O)C1O,Flavonoids,Flavanols,(+)-Catechin 3-O-glucose,452.409,C21H24O11,"",2009-01-23 00:00:00 UTC,2015-05-10 23:28:43 UTC
201,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,Flavonoids,Flavanones,Naringenin,272.253,C15H12O5,480-41-1,2002-09-02 11:57:04 UTC,2015-05-10 23:28:43 UTC
202,OC1=CC(O)=C2C(=O)C[C@H](OC2=C1)C1=CC(O)=C(O)C=C1,Flavonoids,Flavanones,Eriodictyol,288.252,C15H12O6,552-58-9,2002-09-02 13:47:46 UTC,2015-05-10 23:28:43 UTC
203,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,Flavonoids,Flavanones,Hesperetin,302.279,C16H14O6,520-33-2,2002-09-02 11:56:21 UTC,2015-05-10 23:28:43 UTC
206,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C[C@H](OC4=C3)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Eriocitrin,596.534,C27H32O15,13463-28-0,2002-09-04 15:51:58 UTC,2015-05-10 23:28:43 UTC
207,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O1,Flavonoids,Flavanones,Hesperidin,610.561,C28H34O15,520-26-3,2002-09-04 15:52:52 UTC,2015-05-10 23:28:43 UTC
208,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Naringin,580.535,C27H32O14,10236-47-2,2002-09-04 15:55:15 UTC,2015-05-10 23:28:43 UTC
209,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C[C@H](OC4=C3)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Narirutin,580.535,C27H32O14,"",2002-09-04 15:56:42 UTC,2015-05-10 23:28:43 UTC
210,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Neoeriocitrin,596.534,C27H32O15,"",2002-09-04 15:59:20 UTC,2015-05-10 23:28:43 UTC
211,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C=C2O1,Flavonoids,Flavanones,Neohesperidin,610.561,C28H34O15,"",2002-09-04 16:00:24 UTC,2015-05-10 23:28:43 UTC
213,COC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C=C2O1,Flavonoids,Flavanones,Poncirin,594.561,C28H34O14,"",2002-09-04 16:02:18 UTC,2015-05-10 23:28:43 UTC
214,COC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O1,Flavonoids,Flavanones,Didymin,594.561,C28H34O14,"",2002-09-23 09:05:09 UTC,2015-05-10 23:28:43 UTC
215,CC1OC(OCC2OC(OC3=CC4=C(C(=O)CC(O4)C4=CC=C(OC5OC(CO)C(O)C(O)C5O)C=C4)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1O,Flavonoids,Flavanones,Narirutin 4'-O-glucoside,742.675,C33H42O19,"",2002-09-04 15:56:42 UTC,2015-05-10 23:28:44 UTC
216,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Naringin 4'-O-glucoside,434.393,C21H22O10,"",2002-09-04 15:55:15 UTC,2016-06-02 10:10:13 UTC
217,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavanones,Naringin 6'-malonate,666.581,C30H34O17,"",2002-09-04 15:55:15 UTC,2016-06-02 10:14:10 UTC
219,OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Flavanones,Naringenin 7-O-glucoside,434.393,C21H22O10,"",2006-06-26 00:00:00 UTC,2015-05-10 23:28:44 UTC
220,OC1=CC(O)=C2C(=O)C[C@H](OC2=C1)C1=CC=CC=C1,Flavonoids,Flavanones,Pinocembrin,256.253,C15H12O4,480-39-7,2006-09-18 09:58:33 UTC,2015-05-10 23:28:44 UTC
221,CC(C)=CCC1=C2OC(CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,Flavonoids,Flavanones,8-Prenylnaringenin,340.37,C20H20O5,"",2002-09-04 15:55:15 UTC,2015-05-10 23:28:44 UTC
222,CC(C)=CCC1=C(O)C=C2O[C@@H](CC(=O)C2=C1O)C1=CC=C(O)C=C1,Flavonoids,Flavanones,6-Prenylnaringenin,340.37,C20H20O5,"",2007-03-19 00:00:00 UTC,2015-05-10 23:28:44 UTC
223,CC(C)=CCC\C(C)=C\CC1=C(O)C2=C(O[C@@H](CC2=O)C2=CC=C(O)C=C2)C=C1O,Flavonoids,Flavanones,6-Geranylnaringenin,408.487,C25H28O5,"",2007-03-19 00:00:00 UTC,2015-05-10 23:28:44 UTC
224,COC1=C2C(=O)CC(OC2=C(CC=C(C)C)C(O)=C1)C1=CC=C(O)C=C1,Flavonoids,Flavanones,Isoxanthohumol,354.396,C21H22O5,"",2007-09-21 16:21:23 UTC,2015-05-10 23:28:44 UTC
225,OC[C@H]1O[C@H](OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Flavanones,Eriodictyol 7-O-glucoside,450.393,C21H22O11,"",2007-10-30 00:00:00 UTC,2015-05-10 23:28:44 UTC
226,COC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC=C(O)C=C1,Flavonoids,Flavanones,Sakuranetin,286.279,C16H14O5,2957-21-3,2007-11-01 00:00:00 UTC,2015-05-10 23:28:44 UTC
228,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,Flavonoids,Flavones,Apigenin,270.237,C15H10O5,520-36-5,2002-09-02 11:37:28 UTC,2015-05-10 23:28:44 UTC
229,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C=C1,Flavonoids,Flavones,Luteolin,286.236,C15H10O6,491-70-3,2002-09-02 11:38:11 UTC,2015-05-10 23:28:44 UTC
232,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O1,Flavonoids,Flavones,Diosmin,608.545,C28H32O15,520-27-4,2002-09-04 15:50:54 UTC,2015-05-10 23:28:44 UTC
233,C[C@H]1O[C@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Flavones,Isorhoifolin,578.519,C27H30O14,"",2002-09-04 15:54:14 UTC,2015-05-10 23:28:44 UTC
234,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C=C2O,Flavonoids,Flavones,Neodiosmin,608.545,C28H32O15,"",2002-09-04 15:57:21 UTC,2015-05-10 23:28:44 UTC
235,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavones,Rhoifolin,578.519,C27H30O14,17306-46-6,2002-09-04 16:05:47 UTC,2015-05-10 23:28:44 UTC
236,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(OC)C(OC)=C(OC)C=C2O1,Flavonoids,Flavones,Sinensetin,372.369,C20H20O7,2306-27-6,2002-09-04 16:06:39 UTC,2015-05-10 23:28:44 UTC
237,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,Flavonoids,Flavones,Nobiletin,402.395,C21H22O8,478-01-3,2002-09-04 16:09:02 UTC,2015-05-10 23:28:44 UTC
238,COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,Flavonoids,Flavones,Tangeretin,372.369,C20H20O7,481-53-8,2002-09-04 16:09:36 UTC,2015-05-10 23:28:44 UTC
239,[H][C@@]1(OC(=O)[C@@]2([H])O[C@@]([H])(OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)O[C@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Flavones,Luteolin 7-O-diglucuronide,638.484,C27H26O18,"",2003-05-05 11:53:07 UTC,2015-05-10 23:28:44 UTC
240,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1,Flavonoids,Flavones,Chrysin,254.238,C15H10O4,480-40-0,2004-04-22 13:27:50 UTC,2015-05-10 23:28:44 UTC
243,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavones,Luteolin 7-O-rutinoside,594.518,C27H30O15,25694-72-8,2002-09-02 11:38:11 UTC,2015-05-10 23:28:45 UTC
244,COC1=CC=C(C=C1)C1=CC(=O)C2=C(OC)C(OC)=C(OC)C=C2O1,Flavonoids,Flavones,Tetramethylscutellarein,342.343,C19H18O6,"",2004-04-22 14:58:40 UTC,2015-05-10 23:28:45 UTC
245,OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Flavones,Luteolin 7-O-glucoside,448.377,C21H20O11,5373-11-5,2004-06-23 00:00:00 UTC,2015-05-10 23:28:45 UTC
246,[H][C@]1(CO)O[C@@]([H])(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Flavones,Apigenin 7-O-glucoside,420.41,C21H24O9,578-74-5,2004-06-23 00:00:00 UTC,2016-06-02 09:56:45 UTC
247,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=C(O)C(=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1)[C@]1([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Flavones,"Apigenin 6,8-di-C-glucoside",594.518,C27H30O15,"",2004-04-13 14:59:30 UTC,2015-05-10 23:28:45 UTC
251,O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC(O)=C(O)C=C2)O[C@@H]([C@H]1O)C(O)=O,Flavonoids,Flavones,Luteolin 7-O-glucuronide,462.36,C21H18O12,29741-10-4,2006-08-07 00:00:00 UTC,2015-05-10 23:28:45 UTC
252,O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)O[C@@H]([C@H]1O)C(O)=O,Flavonoids,Flavones,Apigenin 7-O-glucuronide,446.361,C21H18O11,"",2006-08-07 00:00:00 UTC,2015-05-10 23:28:45 UTC
253,O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC(O)=C(O)C=C2)[C@@H]1O,Flavonoids,Flavones,Luteolin 7-O-malonyl-glucoside,534.423,C24H22O14,"",2006-08-07 00:00:00 UTC,2015-05-10 23:28:45 UTC
254,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O,Flavonoids,Flavones,Luteolin 6-C-glucoside,448.377,C21H20O11,4261-42-1,2004-06-23 00:00:00 UTC,2015-05-10 23:28:45 UTC
257,[H][C@@]1(O[C@@]2([H])[C@]([H])(OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)O[C@]([H])(CO)[C@@]([H])(O)[C@]2([H])O)OC[C@](O)(CO)[C@@]1([H])O,Flavonoids,Flavones,Luteolin 7-O-(2-apiosyl-glucoside),580.492,C26H28O15,"",2007-02-26 00:00:00 UTC,2015-05-10 23:28:45 UTC
260,[H][C@@]1(O[C@@]2([H])[C@]([H])(OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)O[C@]([H])(COC(=O)CC(O)=O)[C@@]([H])(O)[C@]2([H])O)OC[C@](O)(CO)[C@@]1([H])O,Flavonoids,Flavones,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside,666.538,C29H30O18,"",2007-02-26 00:00:00 UTC,2015-05-10 23:28:45 UTC
261,OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@@H]2O)[C@@H](O)[C@@H]1O,Flavonoids,Flavones,Apigenin 7-O-apiosyl-glucoside,564.492,C26H28O14,26544-34-3,2007-03-28 00:00:00 UTC,2015-05-10 23:28:45 UTC
263,OC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC(O)=C(O)C=C1,Flavonoids,Flavones,"7,3',4'-Trihydroxyflavone",270.237,C15H10O5,"",2007-05-21 00:00:00 UTC,2015-05-10 23:28:45 UTC
264,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2,Flavonoids,Flavones,"7,4'-Dihydroxyflavone",254.238,C15H10O4,2196-14-7,2007-05-21 00:00:00 UTC,2015-05-10 23:28:45 UTC
265,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2,Flavonoids,Flavones,Geraldone,284.263,C16H12O5,21583-32-4,2007-05-21 00:00:00 UTC,2015-05-10 23:28:46 UTC
